title,link,author,rating
"ওয়েব মাস্টারিং (৬৬৬৬৭) (অপশোনাল সাবজেক্ট) ৬ষ্ঠ সেমিস্টার
টেকনিক্যাল প্রকাশনী",https://www.rokomari.com/book/264181/web-mastering-66667-optional-subject-6th-semester,টেকনিক্যাল প্রকাশনী,N/A
"The Significance of Using Data Mining Technology in Digital Library
মোহাম্মদ মেহেদী মাসুদ",https://www.rokomari.com/book/295895/the-significance-of-using-data-mining-technology-in-digital-library,মোহাম্মদ মেহেদী মাসুদ,N/A
"ইন্সট্রুমেন্টস অ্যান্ড প্রসেস কন্ট্রোল (৬৬৮৬৩) ৬ষ্ঠ সেমিস্টার
টেকনিক্যাল প্রকাশনী",https://www.rokomari.com/book/264143/instruments-and-process-control-66863-6th-semester,টেকনিক্যাল প্রকাশনী,N/A
"স্ট্রাকচারাল মেকানিক্স (৬৬৪৪১) ৪র্থ সেমিস্টার
টেকনিক্যাল প্রকাশনী",https://www.rokomari.com/book/264127/structural-mechanics-66441-4th-semester,টেকনিক্যাল প্রকাশনী,N/A
"বিজনেস অর্গানাইজেশন অ্যান্ড কমিউনিটি (৬৫৮৪১) ৪র্থ সেমিস্টার
টেকনিক্যাল প্রকাশনী",https://www.rokomari.com/book/264133/business-organization-and-community-65841-4th-semester,টেকনিক্যাল প্রকাশনী,N/A
"সিভিল ইঞ্জিনিয়ারিং ড্রয়িং - ২ (ক্যাড) (৬৬৪৪৩) ৪র্থ সেমিস্টার
টেকনিক্যাল প্রকাশনী",https://www.rokomari.com/book/264129/civil-engineering-drawing-2-cad-66443-4th-semester,টেকনিক্যাল প্রকাশনী,N/A
"ব্যবহারিক ও গবেষণায় বায়োমেডিক্যাল ইঞ্জিনিয়ারিং
ড. মো. তৈমুর আহাদ",https://www.rokomari.com/book/413679/baboharik-o-gobeshonay-biomedical-engineering,ড. মো. তৈমুর আহাদ,N/A
"গল্পে গল্পে উপদেশ সিরিজ ( ১-১০ খন্ড ) 
জাহিদ হাসান",https://www.rokomari.com/book/379805/golpe-golpe-upodesh-series-1-10-khondo,জাহিদ হাসান,(4)
"প্রাকটিস অফ টেক্সটাইলে কালোরেশন (ভলিউম - ১)
এম ফরহাদ হোসেন",https://www.rokomari.com/book/133652/practice-of-textile-coloration-volume-1,এম ফরহাদ হোসেন,(5)
"General Textiles 
ইঞ্জিনিয়ার মো: সাজ্জাক হোসেন",https://www.rokomari.com/book/108164/general-textiles,ইঞ্জিনিয়ার মো: সাজ্জাক হোসেন,(1)
"Introduction To Textile Engineering
ইঞ্জিনিয়ার মো: সাজ্জাক হোসেন",https://www.rokomari.com/book/133643/introduction-to-textile-engineering,ইঞ্জিনিয়ার মো: সাজ্জাক হোসেন,(1)
"এন ইনট্রোডাকশন টু হাইড্রোডাইনামিকস
মোঃ মিজানুর রহমান",https://www.rokomari.com/book/117678/an-introduction-to-hydrodynamics,মোঃ মিজানুর রহমান,(2)
"Fair Dictionary Of Textiles (Textiles, Apparel And Fashion Dictionary)
ইঞ্জিনিয়ার মোঃ ফারুক হোসেন",https://www.rokomari.com/book/133627/fair-dictionary-of-textiles-textiles-apparel-and-fashion-dictionary,ইঞ্জিনিয়ার মোঃ ফারুক হোসেন,(3)
"Apparel Fibers
ইঞ্জিনিয়ার নজরুল ইসলাম",https://www.rokomari.com/book/108154/apparel-fibers,ইঞ্জিনিয়ার নজরুল ইসলাম,(1)
"Elements Of Production Planning And Control
ড. হোসনে আরা বেগম",https://www.rokomari.com/book/133650/elements-of-production-planning-and-control,ড. হোসনে আরা বেগম,N/A
"Op-Amps and Linear Integrated Circuits
রমাকান্ত এ. গায়কোয়াড়",https://www.rokomari.com/book/231186/op-amps-and-linear-integrated-circuits,রমাকান্ত এ. গায়কোয়াড়,N/A
"Pharma General And Analytical Calculation
মো. সেলিম হোসেন",https://www.rokomari.com/book/231692/pharma-general-and-analytical-calculation,মো. সেলিম হোসেন,N/A
"Solution On Physics - 2
কাজী রকিবুল ইসলাম মিলন",https://www.rokomari.com/book/133644/solution-on-physics-2,কাজী রকিবুল ইসলাম মিলন,(1)
"Ship Stability Part – 1
ক্যাপ্ট. সালাহ উদ্দিন মাহমুদ",https://www.rokomari.com/book/188072/ship-stability-part-1,ক্যাপ্ট. সালাহ উদ্দিন মাহমুদ,N/A
"Advanced Concrete Structures
আবুল ফরাজ খান",https://www.rokomari.com/book/408241/advanced-concrete-structures,আবুল ফরাজ খান,N/A
"Data Communications and Networking 
বেহ্‌রোজ এ. ফোরোউজান ",https://www.rokomari.com/book/105301/data-communications-and-networking,বেহ্‌রোজ এ. ফোরোউজান,(1)
"Short Cases of Industrial System Simulation
এ এম এম মোকাদ্দেছ",https://www.rokomari.com/book/379935/short-cases-of-industrial-system-simulation,এ এম এম মোকাদ্দেছ,(3)
"Next 50 Collective Futures
ফুয়াদ এইচ মল্লিক",https://www.rokomari.com/book/450152/next-50-collective-futures,ফুয়াদ এইচ মল্লিক,N/A
"Dictionary Of Textile Terms And Definitions
ইঞ্জি. মোঃ মাহবাবুর রহমান",https://www.rokomari.com/book/134760/dictionary-of-textile-terms-and-definitions,ইঞ্জি. মোঃ মাহবাবুর রহমান,N/A
"Principles of Power System 
ভি.কে. মেহতা",https://www.rokomari.com/book/93012/principles-of-power-system,ভি.কে. মেহতা,(4)
"A Textbook of Electrical Technology: Volume- 2
বি. এল. থেরাজা",https://www.rokomari.com/book/54371/a-textbook-of-electrical-technology-volume-2,বি. এল. থেরাজা,(4)
"Computer Fundamentals
পি কে সিনহা",https://www.rokomari.com/book/124908/computer-fundamentals,পি কে সিনহা,(3)
"A Textbook Of Thermal Engineering: [SI Units] 
জে কে গুপ্তা ",https://www.rokomari.com/book/92904/a-textbook-of-thermal-engineering-si-units,জে কে গুপ্তা,(4)
"যন্ত্রকৌশলের যন্ত্রণা
এমরান হোসেন",https://www.rokomari.com/book/199974/jontrokousholer-jontrona,এমরান হোসেন,(14)
"Data and Computer Communications
স্টিলিংস উইলিয়াম",https://www.rokomari.com/book/172843/data-and-computer-communications,স্টিলিংস উইলিয়াম,(2)
"Telecommunication Switching Systems and Networks
থিয়াগারজান বিসবনাথন",https://www.rokomari.com/book/166125/telecommunication-switching-systems-and-networks,থিয়াগারজান বিসবনাথন,(2)
"A Textbook of Electrical Technology Volume-1 
এ.কে. থেরাজা",https://www.rokomari.com/book/70602/a-textbook-of-electrical-technology-volume-1,এ.কে. থেরাজা,(3)
"The C Programming Language
ব্রায়ান ডব্লউ কারনিংহ্যান ",https://www.rokomari.com/book/119869/the-c-programming-language,ব্রায়ান ডব্লউ কারনিংহ্যান,(5)
"Principles of Electronic Materials and Devices
এস ও কাসাপ",https://www.rokomari.com/book/230615/principles-of-electronic-materials-and-devices,এস ও কাসাপ,(2)
"Basic Civil Engineering 
সাথীশ গোপী",https://www.rokomari.com/book/103107/basic-civil-engineering,সাথীশ গোপী,(1)
"Schaum's Outline Computer Graphics
জিঞ্জিয়ান অ্যান্ড প্লাস্টক",https://www.rokomari.com/book/122196/schaum-s-outline-computer-graphics,জিঞ্জিয়ান অ্যান্ড প্লাস্টক,(3)
" Hydraulics, Fluid Mechanics And Hydraulic Mechanics
আর এস খুরমি ",https://www.rokomari.com/book/92908/hydraulics-fluid-mechanics-and-hydraulic-mechanics,আর এস খুরমি,(3)
"Power Electronics: Devices, Circuits and Applications
মুহাম্মাদ এইচ রশিদ ",https://www.rokomari.com/book/181496/power-electronics-devices-circuits-and-applications,মুহাম্মাদ এইচ রশিদ,(1)
"সয়েল মেকানিক্স 
ইঞ্জি. মোঃ জাহিদ হোসেন খান",https://www.rokomari.com/book/359191/soil-mechanics,ইঞ্জি. মোঃ জাহিদ হোসেন খান,(1)
"Electrical Power Sytems
আশফাক হোসাইন",https://www.rokomari.com/book/166168/electrical-power-sytems,আশফাক হোসাইন,(1)
"Electronic Devices and Circuit Theory
রবার্ট এল. বয়েলস্টাড",https://www.rokomari.com/book/72056/electronic-devices-and-circuit-theory,রবার্ট এল. বয়েলস্টাড,(5)
"Head First Java - Third Edition
ক্যাথি সিয়েরা",https://www.rokomari.com/book/125056/head-first-java,ক্যাথি সিয়েরা,(3)
"Standard Hand Book Of Civil Engineering
গুরচরন সিং ",https://www.rokomari.com/book/54372/standard-hand-book-of-civil-engineering,গুরচরন সিং,(1)
"Compilers: Principles Techniques and Too 
আলফ্রেড ভি অ্যাহো",https://www.rokomari.com/book/102911/compilers-principles-techniques-and-too,আলফ্রেড ভি অ্যাহো,N/A
"Html and Css: The Complete Reference  
টমাস এ পাওয়েল",https://www.rokomari.com/book/105556/html-and-css-the-complete-reference,টমাস এ পাওয়েল,(5)
"Deep Learning (Adaptive Computation and Machine Learning series)
ইয়ান গুডফেলো",https://www.rokomari.com/book/198672/deep-learning-adaptive-computation-and-machine-learning-series,ইয়ান গুডফেলো,(5)
"Mastering HTML, CSS and Java Script Web Publishing
লরা লিমে",https://www.rokomari.com/book/148939/mastering-html-css-and-java-script-web-publishing,লরা লিমে,(4)
"Programming with C(SIE) (SCHAUM'S OUTLINES SERIES) 
বাইরন গটফ্রাইড",https://www.rokomari.com/book/72196/programming-with-c-sie-schaum-s-outlines-series,বাইরন গটফ্রাইড,(3)
"The Complete Reference C Plus Plus
হার্বার্ট স্কেল্ট্‌ ",https://www.rokomari.com/book/54739/the-complete-reference-c-plus-plus,হার্বার্ট স্কেল্ট্‌,(2)
"Object-Oriented Programming with C Plus Plus
ই. বালাগুরুসামী",https://www.rokomari.com/book/230618/object-oriented-programming-with-c-plus-plus,ই. বালাগুরুসামী,N/A
"Programming Pearls 
জন পি. বেন্টলি",https://www.rokomari.com/book/104638/programming-pearls,জন পি. বেন্টলি,(1)
"Computer Networks
এন্ড্রিউ এস. টানেনবাউম ",https://www.rokomari.com/book/103017/computer-networks,এন্ড্রিউ এস. টানেনবাউম,N/A
"Digital Signal Processing 
জন জে. প্রোকিস",https://www.rokomari.com/book/72068/digital-signal-processing,জন জে. প্রোকিস,(2)
"Switchgear Protection and Power Systems 
Sunil S. Rao",https://www.rokomari.com/book/93011/switchgear-protection-and-power-systems,Sunil S. Rao,(2)
"Microwave Devices And Circuits 
স্যামুয়েল ওয়াই লিয়াও",https://www.rokomari.com/book/103305/microwave-devices-and-circuits,স্যামুয়েল ওয়াই লিয়াও,(1)
"Millman's Electronic Devices and Circuits 
ডেভিড এ. বেল",https://www.rokomari.com/book/54681/millman-s-electronic-devices-and-circuits,ডেভিড এ. বেল,(2)
"Power System protection and Switchgear 
বাদরি রাম",https://www.rokomari.com/book/72486/power-system-protection-and-switchgear,বাদরি রাম,(1)
"Calculus for Engineers
এম. এ. হালিম",https://www.rokomari.com/book/414862/calculus-for-engineers,এম. এ. হালিম,N/A
"কেমিস্ট্রি ২
ড. মো. মাহবুবুর রহমান",https://www.rokomari.com/book/414865/chemistry-2,ড. মো. মাহবুবুর রহমান,N/A
"কেমিস্ট্রি ১ 
ড. মো. মাহবুবুর রহমান",https://www.rokomari.com/book/414864/chemistry-1,ড. মো. মাহবুবুর রহমান,N/A
"Wireless Communications - 2nd Edition
থিওডোর এস রাপাপোর্ট",https://www.rokomari.com/book/72040/wireless-communications,থিওডোর এস রাপাপোর্ট,N/A
"Database System Concepts
আব্রাহাম সিলভারচেজ",https://www.rokomari.com/book/230568/database-system-concepts,আব্রাহাম সিলভারচেজ,(1)
"Data Mining
জিয়াওয়ে হান",https://www.rokomari.com/book/197199/data-mining,জিয়াওয়ে হান,N/A
"Hydraulics and Fluid Mechanics Including Hydraulics Machines
ডা. এস এম শেঠ ",https://www.rokomari.com/book/170367/hydraulics-and-fluid-mechanics-including-hydraulics-machines,ডা. এস এম শেঠ,N/A
"Railway Engineering 
সতীশ চন্দ্র",https://www.rokomari.com/book/92942/railway-engineering,সতীশ চন্দ্র,N/A
"Integrated Electronics: Analog And Digital Circuit Systems
জ্যাকব মিলম্যান ",https://www.rokomari.com/book/119010/integrated-electronics-analog-and-digital-circuit-systems,জ্যাকব মিলম্যান,N/A
"PHP and MySQL Web Development - 5th Edition
লরা থমসন",https://www.rokomari.com/book/163705/php-and-mysql-web-development,লরা থমসন,(6)
"Microcontrollers: Theory and Applications
অজয় এ ভি দেশমুখ",https://www.rokomari.com/book/71192/microcontrollers-theory-and-applications,অজয় এ ভি দেশমুখ,N/A
"Introduction to the Theory of Computation
মাইকেল সিপসার ",https://www.rokomari.com/book/120130/introduction-to-the-theory-of-computation,মাইকেল সিপসার,N/A
"Principles Of Electronics
ভি.কে. মেহতা",https://www.rokomari.com/book/123317/principles-of-electronics,ভি.কে. মেহতা,N/A
"Modern Digital And Analog Communication Systems
বি. পি. লাহি",https://www.rokomari.com/book/231292/modern-digital-and-analog-communication-systems,বি. পি. লাহি,(2)
"Building and Construction Materials: Testing and Quality Control (Lab Manual Series)
এম. এল. গম্ভির ",https://www.rokomari.com/book/119700/building-and-construction-materials-testing-and-quality-control-lab-manual-series,এম. এল. গম্ভির,(7)
"Principles of Geotechnical Engineering
ব্রাজা এম. দাস",https://www.rokomari.com/book/223823/principles-of-geotechnical-engineering,ব্রাজা এম. দাস,N/A
"Engineering Ethics: Concepts and Cases 
চার্লস ই. হ্যারিস",https://www.rokomari.com/book/70973/engineering-ethics-concepts-and-cases,চার্লস ই. হ্যারিস,N/A
"Data Structures 
সেমুর লিপশুজ",https://www.rokomari.com/book/70968/data-structures,সেমুর লিপশুজ,(4)
"Java SE 8 for the Really Impatient
কে এস হর্ষ্টম্যান",https://www.rokomari.com/book/115738/java-se-8-for-the-really-impatient,কে এস হর্ষ্টম্যান,(6)
"Programming with Java
ই. বালাগুরুসামী",https://www.rokomari.com/book/100404/programming-with-java,ই. বালাগুরুসামী,N/A
"Introductory Circuit Analysis 
রবার্ট এল. বয়েলস্টাড",https://www.rokomari.com/book/72055/introductory-circuit-analysis,রবার্ট এল. বয়েলস্টাড,(6)
"Artificial Intelligence: A Modern Approach 
পিটার নোরবিগ",https://www.rokomari.com/book/102901/artificial-intelligence-a-modern-approach,পিটার নোরবিগ,(4)
"Buddhist and Hindu Architecture in India
এস কে গ্রোভার",https://www.rokomari.com/book/163998/buddhist-and-hindu-architecture-in-india,এস কে গ্রোভার,N/A
"Plumbing: Design and Practice 
এস. জি. ডিওলালোকার",https://www.rokomari.com/book/72187/plumbing-design-and-practice,এস. জি. ডিওলালোকার,(4)
